seed,max_neurons,layers,learn_rate,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,350,1,0.01,82,0.9993913173675537,0.0006189215346239507,0.024878133664403983,0.2008528858423233
1,350,1,0.01,83,0.9994165897369385,0.0005932452622801065,0.02435662666052314,0.14419962465763092
1,350,1,0.01,84,0.9996162056922913,0.0003902601602021605,0.019755003421972887,0.07312338054180145
1,350,1,0.01,85,0.999327540397644,0.0006837807595729828,0.026149201891701834,0.13690994679927826
1,350,1,0.01,86,0.9996629953384399,0.0003427184419706464,0.018512656264584138,0.09069991856813431
1,350,1,0.01,87,0.9996881484985352,0.000317096128128469,0.017807193156937143,0.06877341121435165
1,350,1,0.01,88,0.9996210336685181,0.00038538084481842816,0.0196311192961183,0.0935073122382164
1,350,1,0.01,89,0.9995472431182861,0.00046038907021284103,0.021456678918528864,0.10008081793785095
1,350,1,0.01,90,0.9995127320289612,0.0004954818869009614,0.022259422429635533,0.11938276141881943
1,350,1,0.01,91,0.999671220779419,0.00033430481562390924,0.01828400436512498,0.0924946516752243
1,350,1,0.01,92,0.999320924282074,0.0006905510672368109,0.02627833836521653,0.1566304862499237
1,350,1,0.01,93,0.9994356036186218,0.0005739146145060658,0.02395651507431884,0.1929520219564438
1,350,1,0.01,94,0.9997063279151917,0.0002985993633046746,0.01728002787337667,0.07945405691862106
1,350,1,0.01,95,0.9995189905166626,0.0004891359712928534,0.02211641859101182,0.12657412886619568
1,350,1,0.01,96,0.9995369911193848,0.00047079945215955377,0.021697913543922923,0.07847324758768082
1,350,1,0.01,97,0.9997050762176514,0.00029990694019943476,0.017317821462280836,0.09314868599176407
1,350,1,0.01,98,0.9995720982551575,0.0004351075040176511,0.02085923066696495,0.10044008493423462
1,350,1,0.01,99,0.9996384382247925,0.00036767226993106306,0.019174782135165526,0.08915778249502182
1,350,1,0.01,100,0.9993667602539062,0.0006439483258873224,0.025376136937826498,0.12219732254743576
2,350,1,0.01,1,0.9921359419822693,0.007996720261871815,0.08942438292698371,0.5903089046478271
2,350,1,0.01,2,0.9949789643287659,0.005105732474476099,0.07145440836278821,0.5415662527084351
2,350,1,0.01,3,0.9968527555465698,0.0032003698870539665,0.05657181177100453,0.38529300689697266
2,350,1,0.01,4,0.9973580241203308,0.0026865426916629076,0.05183186945946391,0.37641745805740356
2,350,1,0.01,5,0.9974352717399597,0.002607984934002161,0.0510684338314987,0.2948457598686218
2,350,1,0.01,6,0.9985686540603638,0.0014554887311533093,0.03815086802621022,0.22838836908340454
2,350,1,0.01,7,0.998511016368866,0.0015141175827011466,0.03891166383876622,0.20084747672080994
2,350,1,0.01,8,0.9985023736953735,0.0015229092678055167,0.039024470115627666,0.19286836683750153
2,350,1,0.01,9,0.9983336329460144,0.001694492413662374,0.041164212778363365,0.21150478720664978
2,350,1,0.01,10,0.9973340034484863,0.0027109768707305193,0.05206704207779159,0.3195347487926483
2,350,1,0.01,11,0.9989482164382935,0.0010694991797208786,0.03270319831027049,0.1386713832616806
2,350,1,0.01,12,0.9989461302757263,0.0010716269025579095,0.03273571295325504,0.17403466999530792
2,350,1,0.01,13,0.9989701509475708,0.0010472099529579282,0.03236062349457946,0.20369315147399902
2,350,1,0.01,14,0.9988114237785339,0.001208622707054019,0.03476525143090467,0.15201643109321594
2,350,1,0.01,15,0.9991366267204285,0.0008779452182352543,0.029630140368132822,0.17907217144966125
2,350,1,0.01,16,0.9992327690124512,0.0007801938918419182,0.027931951092645107,0.13590018451213837
2,350,1,0.01,17,0.9987676739692688,0.0012530897511169314,0.0353990077702318,0.20307298004627228
2,350,1,0.01,18,0.9992051124572754,0.0008082728600129485,0.028430139992848234,0.13810820877552032
2,350,1,0.01,19,0.9989750981330872,0.0010421976912766695,0.03228308676809994,0.21555861830711365
2,350,1,0.01,20,0.9990919828414917,0.0009233406162820756,0.030386520305590695,0.15913458168506622
2,350,1,0.01,21,0.9990018606185913,0.0010149719892069697,0.0318586250363535,0.20308874547481537
2,350,1,0.01,22,0.9991353750228882,0.0008791961590759456,0.029651242116915534,0.1346139907836914
2,350,1,0.01,23,0.9991560578346252,0.0008581964066252112,0.02929498944572623,0.17355240881443024
2,350,1,0.01,24,0.9992297887802124,0.0007831816910766065,0.027985383525630063,0.1395053118467331
2,350,1,0.01,25,0.9991522431373596,0.0008620740845799446,0.029361098150102367,0.150482177734375
2,350,1,0.01,26,0.9991755485534668,0.0008383570821024477,0.02895439659365133,0.13186845183372498
2,350,1,0.01,27,0.9994451999664307,0.0005641354364342988,0.023751535454245874,0.11236026883125305
2,350,1,0.01,28,0.9984549880027771,0.0015710697043687105,0.03963672166525267,0.1562453955411911
2,350,1,0.01,29,0.9994326233863831,0.0005769561976194382,0.024019912523142922,0.08484769612550735
2,350,1,0.01,30,0.9994853734970093,0.0005232903640717268,0.022875540738345985,0.0916547104716301
2,350,1,0.01,31,0.9988294839859009,0.0011902471305802464,0.03449995841418141,0.1726887822151184
2,350,1,0.01,32,0.999056339263916,0.0009595595765858889,0.030976758652026343,0.16370514035224915
2,350,1,0.01,33,0.998803436756134,0.0012167246313765645,0.0348815801158228,0.16086728870868683
2,350,1,0.01,34,0.9992848634719849,0.0007272235816344619,0.026967083298615406,0.1339554339647293
2,350,1,0.01,35,0.9991225004196167,0.0008923151181079447,0.029871644047623908,0.11780747771263123
2,350,1,0.01,36,0.9992008805274963,0.0008125957101583481,0.028506064445278097,0.13654284179210663
2,350,1,0.01,37,0.9991388320922852,0.0008757157484069467,0.02959249479863005,0.09621784090995789
2,350,1,0.01,38,0.998752236366272,0.0012688045389950275,0.03562028269111613,0.16234591603279114
2,350,1,0.01,39,0.9984824061393738,0.0015432066284120083,0.03928366872393677,0.230436772108078
2,350,1,0.01,40,0.9986152648925781,0.001408116426318884,0.03752487743242986,0.21680057048797607
2,350,1,0.01,41,0.9990540742874146,0.0009618612821213901,0.031013888535967076,0.2260117530822754
2,350,1,0.01,42,0.9991665482521057,0.0008475091890431941,0.02911201107864577,0.16695910692214966
2,350,1,0.01,43,0.9995005130767822,0.0005079229013063014,0.022537144923576752,0.11419640481472015
2,350,1,0.01,44,0.9990877509117126,0.0009276381460949779,0.030457152626189105,0.17461062967777252
2,350,1,0.01,45,0.999413013458252,0.0005969118210487068,0.02443177891699061,0.1142992377281189
2,350,1,0.01,46,0.9984117746353149,0.0016150283627212048,0.04018741547700231,0.13286805152893066
2,350,1,0.01,47,0.9990934729576111,0.0009218126651830971,0.030361367972854866,0.2208731472492218
2,350,1,0.01,48,0.9992709755897522,0.0007413155399262905,0.027227110385171074,0.12252648174762726
2,350,1,0.01,49,0.9994601607322693,0.0005489181494340301,0.02342900231409844,0.13374952971935272
2,350,1,0.01,50,0.9995585680007935,0.00044887690455652773,0.021186715284737454,0.09545455873012543
2,350,1,0.01,51,0.9978047609329224,0.002232300117611885,0.04724722338520947,0.37205031514167786
2,350,1,0.01,52,0.999241292476654,0.0007715083193033934,0.027776038581903528,0.1615723967552185
2,350,1,0.01,53,0.9994654655456543,0.0005435764905996621,0.023314726903819014,0.12545908987522125
2,350,1,0.01,54,0.9990083575248718,0.0010083537781611085,0.03175458672634724,0.22667831182479858
2,350,1,0.01,55,0.9965407252311707,0.003517663339152932,0.05930989242236857,0.41257891058921814
2,350,1,0.01,56,0.9994745850563049,0.0005342636723071337,0.02311414442083318,0.1787591576576233
2,350,1,0.01,57,0.9995900988578796,0.00041683949530124664,0.020416647503967114,0.11949796974658966
2,350,1,0.01,58,0.9996851682662964,0.0003201502258889377,0.017892742268555084,0.08881320059299469
2,350,1,0.01,59,0.9992225170135498,0.0007905900129117072,0.02811743254480585,0.12772221863269806
2,350,1,0.01,60,0.9993486404418945,0.000662336649838835,0.02573590196279965,0.0905611515045166
2,350,1,0.01,61,0.9991313219070435,0.0008833378087729216,0.029720999457839934,0.16387759149074554
2,350,1,0.01,62,0.9994170069694519,0.0005928564933128655,0.024348644588823944,0.19260378181934357
2,350,1,0.01,63,0.9990628361701965,0.0009529758826829493,0.03087030746012986,0.19570939242839813
2,350,1,0.01,64,0.9993299245834351,0.0006813642685301602,0.02610295516852757,0.09749941527843475
2,350,1,0.01,65,0.9992952942848206,0.0007165847928263247,0.026769101457208545,0.14441372454166412
2,350,1,0.01,66,0.999409556388855,0.0006003880989737809,0.024502818184318736,0.16089598834514618
2,350,1,0.01,67,0.9995701313018799,0.00043713365448638797,0.020907741496545913,0.10974670201539993
2,350,1,0.01,68,0.9994164705276489,0.0005933884531259537,0.02435956594699408,0.10889492928981781
2,350,1,0.01,69,0.9993181228637695,0.0006933788536116481,0.026332087908322956,0.1187077984213829
2,350,1,0.01,70,0.9994146823883057,0.0005951850907877088,0.024396415531542922,0.12256772816181183
2,350,1,0.01,71,0.999683141708374,0.00032219424610957503,0.017949770085145242,0.08826661854982376
2,350,1,0.01,72,0.9978905320167542,0.0021450472995638847,0.04631465534324837,0.2343020886182785
2,350,1,0.01,73,0.9993699193000793,0.0006406829343177378,0.02531171535707799,0.09924312680959702
2,350,1,0.01,74,0.9995814561843872,0.00042560783913359046,0.02063026512514055,0.15034553408622742
2,350,1,0.01,75,0.9996886849403381,0.00031656824285164475,0.01779236473467326,0.06990907341241837
2,350,1,0.01,76,0.9995203614234924,0.000487722601974383,0.022084442532569915,0.11776363849639893
2,350,1,0.01,77,0.9996324777603149,0.0003737412625923753,0.019332388952024923,0.09287440776824951
2,350,1,0.01,78,0.9995235204696655,0.00048450255417265,0.02201141872239611,0.11955716460943222
2,350,1,0.01,79,0.9995989799499512,0.0004078042402397841,0.020194163519189998,0.09739478677511215
2,350,1,0.01,80,0.9992206692695618,0.0007924682577140629,0.028150812736297028,0.23513172566890717
2,350,1,0.01,81,0.9994885921478271,0.0005200302111916244,0.02280417091655876,0.1103118285536766
2,350,1,0.01,82,0.9993129372596741,0.0006986575317569077,0.02643213067001803,0.19223101437091827
2,350,1,0.01,83,0.9993572235107422,0.0006536036962643266,0.025565674179734172,0.11646085232496262
2,350,1,0.01,84,0.999518632888794,0.0004894700250588357,0.02212396946885517,0.15630552172660828
2,350,1,0.01,85,0.9996197819709778,0.0003866163897328079,0.019662563152671828,0.13974560797214508
2,350,1,0.01,86,0.9996198415756226,0.0003865809994749725,0.019661663191982832,0.08558706939220428
2,350,1,0.01,87,0.9995552897453308,0.00045219759340398014,0.021264938123680965,0.08079680055379868
2,350,1,0.01,88,0.9996368885040283,0.0003692118334583938,0.01921488572587393,0.0824219360947609
2,350,1,0.01,89,0.9979428052902222,0.002091912319883704,0.045737427998125385,0.23805487155914307
2,350,1,0.01,90,0.9994914531707764,0.0005171506782062352,0.02274094717038486,0.13300323486328125
2,350,1,0.01,91,0.9991506934165955,0.0008636575657874346,0.029388051411882256,0.12201281636953354
2,350,1,0.01,92,0.9996261596679688,0.00038015274913050234,0.019497506228502718,0.10973212867975235
2,350,1,0.01,93,0.9996804594993591,0.0003249090223107487,0.018025232933605844,0.14409694075584412
2,350,1,0.01,94,0.9989613890647888,0.0010561123490333557,0.032497882223821224,0.1444171518087387
2,350,1,0.01,95,0.9994863867759705,0.000522285292390734,0.022853561919113044,0.11716210097074509
2,350,1,0.01,96,0.9991800785064697,0.0008337771869264543,0.02887520020582462,0.11754942685365677
2,350,1,0.01,97,0.9984174370765686,0.0016092349542304873,0.040115270835811234,0.23449493944644928
2,350,1,0.01,98,0.9987184405326843,0.0013031840790063143,0.03609964098168172,0.21052221953868866
2,350,1,0.01,99,0.9995704293251038,0.00043678810470737517,0.02089947618260743,0.08175252377986908
2,350,1,0.01,100,0.9996771812438965,0.00032827473478391767,0.01811835353402504,0.07702114433050156
3,350,1,0.01,1,0.9926326870918274,0.00749162258580327,0.08655415984112647,0.443818598985672
3,350,1,0.01,2,0.9954769015312195,0.004599398002028465,0.06781886169811806,0.30509039759635925
3,350,1,0.01,3,0.9972216486930847,0.0028252319898456335,0.05315291139576113,0.21347567439079285
3,350,1,0.01,4,0.9976889491081238,0.002350025810301304,0.048477064786363704,0.23567639291286469
3,350,1,0.01,5,0.9981889724731445,0.0018415722297504544,0.04291354366339902,0.18742334842681885
3,350,1,0.01,6,0.9985065460205078,0.0015186371747404337,0.038969695594659626,0.1910991072654724
