seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
4,400,1,0.01,100,11523,0.5,0.9984754323959351,0.0014860726660117507,0.038549613046199964,0.9525393843650818
5,400,1,0.01,100,11523,0.5,0.9987999796867371,0.0011696857400238514,0.034200668707261433,0.5244539976119995
6,400,1,0.01,100,11523,0.5,0.9972231984138489,0.0027066529728472233,0.05202550310037591,1.1483755111694336
7,400,1,0.01,100,11523,0.5,0.9986496567726135,0.0013162337709218264,0.03627993620338694,0.7081875801086426
8,400,1,0.01,100,11523,0.5,0.9980698227882385,0.0018814399372786283,0.04337556843752746,0.705147385597229
9,400,1,0.01,100,11523,0.5,0.9990376830101013,0.0009380232077091932,0.03062716453916675,0.31526416540145874
10,400,1,0.01,100,11523,0.5,0.9728278517723083,0.026485757902264595,0.16274445582650302,0.6573242545127869
11,400,1,0.01,100,11523,0.5,0.997890293598175,0.0020564384758472443,0.045347971022386926,0.3898007273674011
12,400,1,0.01,100,11523,0.5,0.995599091053009,0.004289714619517326,0.06549591299857821,1.0523715019226074
13,400,1,0.01,100,11523,0.5,0.9966631531715393,0.003252555150538683,0.057031177004675984,2.3962013721466064
14,400,1,0.01,100,11523,0.5,0.9972931742668152,0.0026384408120065928,0.05136575524614228,0.7765198349952698
15,400,1,0.01,100,11523,0.5,0.9986640810966492,0.0013021646300330758,0.0360855182868845,0.7653966546058655
16,400,1,0.01,100,11523,0.5,0.9986653923988342,0.001300898496992886,0.036067970513918385,0.2513365149497986
17,400,1,0.01,100,11523,0.5,0.996814489364624,0.003105058567598462,0.055723052389459626,0.6937211751937866
18,400,1,0.01,100,11523,0.5,0.9968652129173279,0.0030556023120880127,0.055277502766387814,1.6450644731521606
19,400,1,0.01,100,11523,0.5,0.9986609816551208,0.001305202953517437,0.03612759268920968,0.8418006300926208
20,400,1,0.01,100,11523,0.5,0.9986957907676697,0.0012712772004306316,0.03565497441354616,0.8721043467521667
21,400,1,0.01,100,11523,0.5,0.9969339370727539,0.0029886302072554827,0.05466836569036505,0.43558844923973083
22,400,1,0.01,100,11523,0.5,0.9985046982765198,0.0014575048116967082,0.03817728135549608,0.9548539519309998
23,400,1,0.01,100,11523,0.5,0.9980041980743408,0.0019454032881185412,0.04410672610972777,0.9884403944015503
24,400,1,0.01,100,11523,0.5,0.9986705183982849,0.0012959138257429004,0.03599880311542177,0.8294253349304199
25,400,1,0.01,100,11523,0.5,0.998153030872345,0.0018002904253080487,0.04242982942822241,0.7180947065353394
